Epoch	Loss	Accuracy
	1	0.5932	79.22
	2	0.5828	79.54
	3	0.5727	80.11
	4	0.5762	79.82
	5	0.5686	79.98
	6	0.5612	80.39
	7	0.5602	80.40
	8	0.5576	80.45
	9	0.5501	80.63
	10	0.5453	80.86
	11	0.5394	81.13
	12	0.5346	81.29
	13	0.5275	81.48
	14	0.5239	81.52
	15	0.5172	81.87
	16	0.5244	81.48
	17	0.5095	82.16
	18	0.5081	82.18
	19	0.5082	82.33
	20	0.4994	82.35
	21	0.4993	82.28
	22	0.4913	82.67
	23	0.4820	83.02
	24	0.4849	82.83
	25	0.4763	83.18
	26	0.4779	83.25
	27	0.4716	83.57
	28	0.4631	83.66
	29	0.4597	83.75
	30	0.4535	84.01
	31	0.4569	83.94
	32	0.4482	84.13
	33	0.4471	84.13
	34	0.4407	84.40
	35	0.4397	84.56
	36	0.4310	84.74
	37	0.4300	84.81
	38	0.4237	85.16
	39	0.4201	85.19
	40	0.4210	85.19
	41	0.4174	85.18
	42	0.4127	85.64
	43	0.4045	85.77
	44	0.4039	85.72
	45	0.4011	86.07
	46	0.3953	86.09
	47	0.3957	85.85
	48	0.3903	86.37
	49	0.3874	86.25
	50	0.3774	86.66
	51	0.3726	86.65
	52	0.3735	86.72
	53	0.3723	86.83
	54	0.3698	86.97
	55	0.3602	87.19
	56	0.3595	87.13
	57	0.3600	87.36
	58	0.3619	87.09
	59	0.3483	87.68
	60	0.3505	87.69
Epoch	Loss	Accuracy
	1	0.3459	87.78
	2	0.3382	87.94
	3	0.3445	87.74
	4	0.3378	87.93
	5	0.3375	88.04
	6	0.3346	88.25
	7	0.3242	88.39
	8	0.3261	88.41
	9	0.3219	88.59
	10	0.3207	88.83
	11	0.3189	88.77
	12	0.3176	88.70
	13	0.3124	88.75
	14	0.3095	88.91
	15	0.3094	89.06
	16	0.3039	89.07
	17	0.3069	89.03
	18	0.3045	89.19
	19	0.2924	89.52
	20	0.2961	89.60
	21	0.2865	89.81
	22	0.2884	89.69
	23	0.2844	89.89
	24	0.2818	89.92
	25	0.2833	89.92
	26	0.2854	89.81
	27	0.2753	90.24
	28	0.2757	90.28
	29	0.2779	90.09
	30	0.2725	90.32
	31	0.2636	90.65
	32	0.2616	90.69
	33	0.2638	90.61
	34	0.2585	90.67
	35	0.2620	90.59
	36	0.2581	90.75
	37	0.2587	90.83
	38	0.2542	91.09
	39	0.2508	91.11
	40	0.2479	91.16
	41	0.2483	91.23
	42	0.2471	91.14
	43	0.2427	91.41
	44	0.2438	91.25
	45	0.2418	91.34
	46	0.2436	91.47
	47	0.2385	91.45
	48	0.2312	91.86
	49	0.2359	91.70
	50	0.2330	91.72
Epoch	Loss	Accuracy
1	0.2335	91.75
2	0.2330	91.66
3	0.2263	91.95
4	0.2284	91.90
5	0.2267	91.88
6	0.2284	92.06
7	0.2246	91.99
8	0.2264	92.04
9	0.2223	92.06
10	0.2278	91.96
11	0.2187	92.27
12	0.2172	92.34
13	0.2122	92.52
14	0.2180	92.37
15	0.2163	92.27
16	0.2055	92.71
17	0.2104	92.55
18	0.2062	92.64
19	0.2110	92.48
20	0.2018	92.80
21	0.2047	92.83
22	0.2045	92.67
23	0.2031	92.81
24	0.2022	92.88
25	0.1993	93.04
26	0.1951	93.04
27	0.1983	92.92
28	0.2022	92.73
29	0.1995	92.93
30	0.1940	93.10
31	0.1892	93.13
32	0.1905	93.20
33	0.1895	93.32
34	0.1912	93.15
35	0.1894	93.33
36	0.1924	93.16
37	0.1910	93.16
38	0.1852	93.46
39	0.1873	93.39
40	0.1844	93.46
41	0.1841	93.38
42	0.1835	93.43
43	0.1864	93.33
44	0.1831	93.58
45	0.1798	93.56
46	0.1749	93.78
47	0.1791	93.65
48	0.1751	93.74
49	0.1780	93.71
50	0.1733	93.96
Epoch	Loss	Accuracy
	1	0.1707	94.06
	2	0.1718	93.98
	3	0.1684	94.03
	4	0.1698	94.05
	5	0.1784	93.62
	6	0.1663	94.22
	7	0.1697	93.95
	8	0.1655	94.18
	9	0.1598	94.24
	10	0.1634	94.31
	11	0.1688	94.06
	12	0.1615	94.27
	13	0.1623	94.18
	14	0.1629	94.36
	15	0.1574	94.37
	16	0.1644	94.20
	17	0.1609	94.24
	18	0.1605	94.40
	19	0.1545	94.67
	20	0.1591	94.43
	21	0.1587	94.45
	22	0.1597	94.40
	23	0.1568	94.40
	24	0.1541	94.62
	25	0.1580	94.46
	26	0.1566	94.48
	27	0.1577	94.56
	28	0.1530	94.59
	29	0.1534	94.58
	30	0.1553	94.54
	31	0.1504	94.68
	32	0.1488	94.82
	33	0.1484	94.78
	34	0.1509	94.69
	35	0.1470	94.88
	36	0.1480	94.81
	37	0.1497	94.80
	38	0.1463	94.86
	39	0.1459	94.90
	40	0.1485	94.79
	41	0.1443	94.93
	42	0.1442	94.97
	43	0.1437	95.07
	44	0.1416	94.99
	45	0.1456	94.94
	46	0.1392	95.12
	47	0.1389	95.18
	48	0.1407	95.09
	49	0.1443	95.03
	50	0.1378	95.17
Epoch	Loss	Accuracy
