Epoch	Loss	Accuracy
	1	1.1130	62.05
	2	1.0352	64.69
	3	0.9698	67.12
	4	0.9013	69.37
	5	0.8496	71.21
	6	0.7944	73.33
	7	0.7559	74.51
	8	0.7231	75.80
	9	0.6825	77.06
	10	0.6493	78.16
	11	0.6206	79.03
	12	0.5935	80.04
	13	0.5650	81.16
	14	0.5433	81.79
	15	0.5219	82.60
	16	0.5020	83.09
	17	0.4829	84.01
	18	0.4649	84.36
	19	0.4428	85.23
	20	0.4280	85.66
	21	0.4089	86.46
	22	0.3885	87.13
	23	0.3749	87.71
	24	0.3609	87.98
	25	0.3498	88.62
	26	0.3344	89.01
	27	0.3239	89.22
	28	0.3099	89.85
	29	0.2948	90.41
	30	0.2829	90.88
	31	0.2707	91.20
	32	0.2642	91.49
	33	0.2551	91.66
