Epoch	Loss	Accuracy
	1	1.6240	41.92
	2	1.3439	53.17
	3	1.2141	58.03
	4	1.1153	61.73
	5	1.0426	64.61
	6	0.9704	67.39
	7	0.9023	69.58
	8	0.8473	71.33
	9	0.8061	72.53
	10	0.7611	74.52
	11	0.7223	75.65
	12	0.6850	77.03
	13	0.6534	78.13
	14	0.6200	79.23
	15	0.5895	80.38
	16	0.5636	81.04
	17	0.5446	81.72
	18	0.5238	82.55
	19	0.5016	83.20
	20	0.4775	84.06
	21	0.4619	84.47
	22	0.4426	85.20
	23	0.4295	85.83
	24	0.4073	86.51
	25	0.3930	87.07
	26	0.3792	87.30
	27	0.3577	88.18
	28	0.3466	88.54
	29	0.3309	89.09
	30	0.3221	89.35
	31	0.3074	90.01
	32	0.2955	90.29
	33	0.2839	90.78
	34	0.2719	91.19
	35	0.2607	91.53
	36	0.2486	92.12
	37	0.2414	92.27
	38	0.2296	92.83
	39	0.2191	93.03
	40	0.2074	93.55
	41	0.2028	93.73
	42	0.1917	93.97
	43	0.1859	94.20
	44	0.1803	94.47
	45	0.1723	94.82
	46	0.1614	95.17
	47	0.1579	95.36
	48	0.1511	95.57
	49	0.1438	95.76
	50	0.1389	95.98
	51	0.1293	96.28
	52	0.1285	96.35
	53	0.1203	96.60
	54	0.1179	96.72
	55	0.1164	96.68
	56	0.1089	97.00
	57	0.1052	97.06
	58	0.1013	97.26
	59	0.0990	97.32
	60	0.0957	97.39
	61	0.0909	97.68
	62	0.0869	97.69
	63	0.0838	97.82
	64	0.0797	98.00
	65	0.0782	98.03
	66	0.0755	98.06
	67	0.0732	98.20
	68	0.0716	98.21
	69	0.0694	98.33
	70	0.0667	98.31
	71	0.0647	98.44
	72	0.0613	98.51
	73	0.0634	98.53
	74	0.0605	98.54
	75	0.0560	98.73
	76	0.0539	98.79
	77	0.0571	98.60
	78	0.0532	98.79
	79	0.0513	98.88
	80	0.0491	98.87
	81	0.0467	98.99
	82	0.0477	98.93
	83	0.0447	99.02
	84	0.0439	99.04
	85	0.0439	99.06
	86	0.0444	99.06
	87	0.0410	99.18
	88	0.0419	99.08
	89	0.0402	99.19
	90	0.0417	99.01
	91	0.0380	99.21
	92	0.0387	99.15
	93	0.0358	99.27
	94	0.0358	99.30
	95	0.0352	99.28
	96	0.0342	99.29
	97	0.0334	99.35
	98	0.0336	99.32
	99	0.0315	99.42
	100	0.0331	99.25
	101	0.0289	99.47
	102	0.0302	99.38
	103	0.0296	99.42
	104	0.0275	99.50
	105	0.0298	99.39
	106	0.0252	99.56
	107	0.0265	99.49
	108	0.0278	99.44
	109	0.0277	99.44
	110	0.0270	99.48
	111	0.0228	99.62
	112	0.0253	99.52
	113	0.0245	99.55
	114	0.0242	99.56
	115	0.0242	99.56
	116	0.0220	99.64
	117	0.0213	99.64
	118	0.0210	99.63
	119	0.0220	99.58
	120	0.0221	99.60
	121	0.0201	99.67
	122	0.0198	99.68
	123	0.0215	99.61
	124	0.0201	99.64
	125	0.0223	99.58
	126	0.0188	99.68
	127	0.0189	99.67
	128	0.0188	99.68
	129	0.0183	99.70
	130	0.0178	99.71
	131	0.0181	99.70
	132	0.0182	99.66
	133	0.0175	99.72
	134	0.0174	99.72
	135	0.0174	99.70
	136	0.0167	99.71
	137	0.0176	99.68
	138	0.0162	99.73
	139	0.0157	99.74
	140	0.0155	99.72
	141	0.0162	99.70
	142	0.0158	99.73
	143	0.0157	99.75
	144	0.0154	99.76
	145	0.0148	99.76
	146	0.0160	99.72
	147	0.0151	99.75
	148	0.0139	99.79
	149	0.0140	99.77
	150	0.0147	99.74
	151	0.0147	99.75
	152	0.0150	99.73
	153	0.0124	99.83
	154	0.0141	99.77
	155	0.0135	99.78
	156	0.0133	99.80
	157	0.0133	99.79
	158	0.0130	99.78
	159	0.0129	99.79
	160	0.0131	99.80
	161	0.0133	99.78
	162	0.0124	99.82
	163	0.0114	99.83
	164	0.0119	99.82
	165	0.0123	99.81
	166	0.0127	99.80
	167	0.0114	99.86
	168	0.0121	99.80
	169	0.0125	99.78
	170	0.0098	99.90
	171	0.0112	99.84
	172	0.0124	99.79
	173	0.0118	99.81
	174	0.0109	99.85
	175	0.0117	99.81
	176	0.0113	99.83
	177	0.0121	99.80
	178	0.0110	99.84
	179	0.0103	99.85
	180	0.0097	99.87
	181	0.0100	99.86
	182	0.0106	99.83
	183	0.0096	99.85
	184	0.0090	99.87
	185	0.0111	99.82
	186	0.0095	99.88
	187	0.0090	99.86
	188	0.0112	99.83
	189	0.0090	99.88
	190	0.0087	99.89
	191	0.0082	99.90
	192	0.0096	99.86
	193	0.0092	99.86
	194	0.0086	99.87
	195	0.0093	99.87
	196	0.0087	99.89
	197	0.0089	99.88
	198	0.0084	99.88
	199	0.0080	99.91
	200	0.0084	99.88
	201	0.0094	99.84
	202	0.0088	99.85
	203	0.0087	99.89
	204	0.0095	99.85
	205	0.0084	99.89
	206	0.0083	99.89
	207	0.0078	99.90
	208	0.0080	99.92
	209	0.0089	99.83
	210	0.0079	99.89
	211	0.0084	99.89
	212	0.0073	99.92
	213	0.0081	99.88
	214	0.0070	99.93
	215	0.0080	99.89
	216	0.0088	99.84
	217	0.0085	99.87
	218	0.0085	99.89
	219	0.0084	99.87
	220	0.0074	99.91
	221	0.0088	99.85
	222	0.0075	99.90
	223	0.0066	99.94
	224	0.0070	99.91
	225	0.0072	99.89
	226	0.0093	99.83
	227	0.0082	99.89
	228	0.0073	99.90
	229	0.0080	99.88
	230	0.0077	99.88
	231	0.0071	99.89
	232	0.0073	99.90
	233	0.0070	99.91
	234	0.0067	99.91
	235	0.0063	99.93
	236	0.0064	99.92
	237	0.0059	99.93
	238	0.0058	99.94
	239	0.0062	99.92
	240	0.0067	99.90
	241	0.0056	99.95
	242	0.0059	99.93
	243	0.0061	99.93
	244	0.0061	99.93
	245	0.0053	99.94
	246	0.0056	99.95
	247	0.0069	99.90
	248	0.0062	99.93
	249	0.0056	99.95
	250	0.0059	99.92
	251	0.0059	99.92
	252	0.0060	99.92
	253	0.0061	99.91
	254	0.0060	99.91
	255	0.0063	99.91
	256	0.0064	99.90
	257	0.0056	99.93
	258	0.0054	99.93
	259	0.0059	99.92
	260	0.0057	99.93
	261	0.0059	99.93
	262	0.0051	99.94
	263	0.0048	99.96
	264	0.0065	99.88
	265	0.0069	99.89
	266	0.0059	99.93
	267	0.0056	99.93
	268	0.0054	99.92
	269	0.0052	99.93
	270	0.0051	99.93
	271	0.0050	99.95
	272	0.0056	99.93
	273	0.0066	99.88
	274	0.0060	99.92
	275	0.0059	99.92
	276	0.0064	99.91
	277	0.0059	99.93
	278	0.0046	99.96
	279	0.0057	99.91
	280	0.0046	99.95
	281	0.0049	99.95
	282	0.0047	99.95
	283	0.0047	99.94
	284	0.0054	99.93
	285	0.0042	99.97
	286	0.0047	99.94
	287	0.0045	99.95
	288	0.0043	99.96
	289	0.0041	99.96
	290	0.0047	99.93
	291	0.0059	99.91
	292	0.0043	99.96
	293	0.0043	99.96
	294	0.0038	99.97
	295	0.0048	99.94
	296	0.0044	99.96
	297	0.0046	99.94
	298	0.0046	99.95
	299	0.0042	99.95
	300	0.0042	99.95
